X	Y	Type	Color
-0.0108685	0.132989	green	#008000
-12.3152	-5.06676	green	#008000
-0.170048	-0.0735724	red	#FF0000
-0.697775	-0.714738	red	#FF0000
-0.0111726	-0.0610957	red	#FF0000
0.0796766	-0.111677	red	#FF0000
0.0564116	0.0970549	red	#FF0000
4.51687	14.8614	green	#008000
-0.0676557	0.129045	green	#008000
15.8551	-3.20764	red	#FF0000
-0.0542798	0.0164605	red	#FF0000
0.360465	0.837875	red	#FF0000
0.0765623	0.00776338	green	#008000
3.42909	0.622152	green	#008000
-0.0237317	-0.0435251	red	#FF0000
-0.125725	0.101044	red	#FF0000
-0.0350755	-0.0757209	blue	#3399FF
-0.0420515	-0.116728	green	#008000
0.398324	0.264068	green	#008000
-0.135589	-0.00863053	red	#FF0000
-0.531198	0.252058	red	#FF0000
-0.0925605	0.345451	red	#FF0000
0.102441	-0.063152	red	#FF0000
-2.14238	7.69966	green	#008000
0.065434	-0.16859	red	#FF0000
0.506679	-0.341807	red	#FF0000
0.11624	0.0526517	green	#008000
0.020102	0.0486147	red	#FF0000
-0.113351	-0.0671032	red	#FF0000
-0.000102717	2.64745e-05	red	#FF0000
0.373968	-0.375855	red	#FF0000
-0.109519	-0.0773081	green	#008000
0.0609317	0.115277	red	#FF0000
0.000136271	0.00098247	green	#008000
0.0299377	-0.155683	red	#FF0000
-0.120767	-0.0109253	red	#FF0000
-0.0165584	0.0424572	red	#FF0000
0.00269676	-0.0777763	red	#FF0000
0.088935	0.0671854	red	#FF0000
-1.21567	-6.79491	red	#FF0000
0.0653341	0.0294878	red	#FF0000
-0.0968138	-0.148481	red	#FF0000
0.0696143	0.0453478	green	#008000
-0.056669	0.155896	red	#FF0000
0.532036	-1.67406	green	#008000
-0.0255031	0.245758	green	#008000
0.0736684	0.104992	red	#FF0000
-1.79101	-3.55757	red	#FF0000
0.299	0.226058	red	#FF0000
-0.0299394	-0.0178327	red	#FF0000
-0.762816	-0.439811	red	#FF0000
1.91798	-3.56552	red	#FF0000
-0.109694	0.0646261	green	#008000
-0.18092	-0.0413029	green	#008000
